group,val,trial_n,sample_n
A,-0.702,6,244
B,-0.115,6,245
A,-0.103,6,246
B,0.804,6,247
A,-0.679,6,248
B,-0.337,6,249
A,-1.027,6,250
B,0.353,6,251
A,-0.98,6,252
B,-0.063,6,253
A,0.287,6,254
B,0.885,6,255
A,0.039,6,256
B,0.838,6,257
A,-0.404,6,258
B,0.143,6,259
A,0.233,6,260
A,0.566,7,261
B,1.253,7,262
A,-0.687,7,263
B,0.26,7,264
A,0.276,7,265
B,0.251,7,266
A,-0.561,7,267
B,1.111,7,268
A,-1.027,7,269
B,1.002,7,270
A,0.207,7,271
B,0.977,7,272
A,-0.886,7,273
B,0.505,7,274
A,1.144,7,275
B,0.746,7,276
A,0.585,7,277
A,1.374,8,278
B,0.339,8,279
A,0.282,8,280
B,-0.604,8,281
A,1.029,8,282
B,-0.818,8,283
A,0.74,8,284
B,0.398,8,285
A,0.963,8,286
B,1.467,8,287
A,-0.792,8,288
B,1.697,8,289
A,-0.989,8,290
B,1.39,8,291
A,0.8,8,292
B,0.439,8,293
A,0.471,8,294
B,0.416,8,295
A,0.796,8,296
B,1.189,8,297
A,0.933,8,298
B,-0.694,8,299
A,1.008,8,300
B,-0.66,8,301
A,1.289,8,302
B,0.821,8,303
A,0.487,8,304
B,0.399,8,305
A,1.292,8,306
B,1.184,8,307
A,2.028,8,308
B,0.179,8,309
A,0.373,8,310
B,1.158,8,311
A,3.325,8,312
B,0.856,8,313
A,2.05,8,314
B,0.091,8,315
A,0.713,8,316
A,-0.2,9,317
B,0.464,9,318
A,1.135,9,319
B,0.495,9,320
A,0.45,9,321
B,0.324,9,322
A,-0.699,9,323
B,-0.752,9,324
A,0.815,9,325
B,0.793,9,326
A,0.743,9,327
B,-0.185,9,328
A,0.981,9,329
B,0.568,9,330
A,0.489,9,331
B,0.525,9,332
A,1.491,9,333
B,0.697,9,334
A,0.461,9,335
B,0.067,9,336
A,0.827,9,337
B,1.299,9,338
A,-0.385,9,339
B,-0.297,9,340
A,0.921,9,341
B,0.899,9,342
A,0.424,9,343
B,0.603,9,344
A,1.227,9,345
B,0.181,9,346
A,0.978,9,347
B,-0.448,9,348
A,-0.017,9,349
B,0.127,9,350
A,0.514,9,351
B,1.334,9,352
A,0.567,9,353
B,0.736,9,354
A,0.162,9,355
B,0.479,9,356
A,0.535,9,357
B,0.039,9,358
A,0.598,9,359
B,0.982,9,360
A,0.007,9,361
B,0.52,9,362
A,0.464,9,363
B,0.527,9,364
A,0.781,9,365
B,0.67,9,366
A,-0.099,9,367
B,1.024,9,368
A,0.444,9,369
B,-0.028,9,370
A,0.575,9,371
B,-0.026,9,372
A,0.207,9,373
B,0.704,9,374
A,-0.501,9,375
B,0.532,9,376
A,0.388,9,377
B,0.556,9,378
A,0.115,9,379
B,0.356,9,380
A,0.922,9,381
B,0.56,9,382
A,-0.136,9,383
B,1.594,9,384
A,-0.033,9,385
B,-0.003,9,386
A,0.413,9,387
B,0.551,9,388
A,-0.182,9,389
B,1.603,9,390
A,0.035,9,391
B,0.464,9,392
A,1.086,9,393
B,-0.055,9,394
A,0.448,9,395
B,0.252,9,396
A,0.58,9,397
B,0.077,9,398
A,-0.278,9,399
B,-0.138,9,400
A,0.356,9,401
B,0.146,9,402
A,0.945,9,403
B,1.096,9,404
A,1.238,9,405
B,0.451,9,406
A,0.914,9,407
B,0.385,9,408
A,1.379,9,409
B,1.026,9,410
A,0.914,9,411
B,0.498,9,412
A,-0.276,10,413
B,-0.965,10,414
A,-1.608,10,415
B,-3.508,10,416
A,-0.704,10,417
B,-0.419,10,418
A,-1.369,10,419
B,0.184,10,420
A,0.254,10,421
B,-1.341,10,422
A,-0.775,10,423
B,-1.518,10,424
A,0.813,10,425
B,-0.84,10,426
A,-1.896,10,427
B,0.476,10,428
A,-1.856,10,429
B,-1.858,10,430
A,-1.876,10,431
B,-0.612,10,432
A,-1.204,10,433
B,-0.253,10,434
A,-0.022,10,435
B,-1.176,10,436
A,-2.317,10,437
B,-0.85,10,438
A,-0.929,10,439
A,-1.576,11,440
B,-0.616,11,441
A,0.5,11,442
B,0.47,11,443
A,1.265,11,444
B,-1.122,11,445
A,-0.061,11,446
B,1.898,11,447
A,1.501,11,448
B,-0.849,11,449
A,0.562,11,450
B,1.237,11,451
A,-0.265,11,452
B,0.885,11,453
A,0.915,11,454
B,-0.229,11,455
A,-0.875,11,456
B,0.851,11,457
A,1.079,11,458
B,0.971,11,459
A,-0.139,11,460
B,0.978,11,461
A,-0.603,11,462
B,0.716,11,463
A,-0.844,11,464
B,-0.12,11,465
A,-0.437,11,466
B,0.208,11,467
A,-0.456,11,468
B,-0.127,11,469
A,-0.57,11,470
B,0.742,11,471
A,1.955,11,472
B,1.352,11,473
A,-0.998,11,474
B,-0.884,11,475
A,1.689,11,476
B,-0.362,11,477
A,-0.55,11,478
B,0.535,11,479
A,-0.475,11,480
B,-1.407,11,481
A,0.484,11,482
A,0.477,12,483
B,-1.872,12,484
A,-1.923,12,485
B,-2.155,12,486
A,-1.969,12,487
B,-0.227,12,488
A,-0.897,12,489
B,-1.281,12,490
A,-2.124,12,491
B,-0.438,12,492
A,-0.064,12,493
B,-1.269,12,494
A,-1.202,12,495
B,-0.86,12,496
A,-0.521,12,497
B,-1.551,12,498
A,-1.511,12,499
B,-2.217,12,500
A,-0.842,12,501
B,-1.538,12,502
A,-0.746,12,503
B,-1.744,12,504
A,-1.894,12,505
B,-2.083,12,506
A,-1.398,12,507
B,-0.991,12,508
A,-1.258,12,509
B,-0.736,12,510
A,-0.926,12,511
B,-1.624,12,512
A,-1.118,12,513
B,-1.867,12,514
A,-0.649,12,515
B,-1.248,12,516
A,-1.581,12,517
B,-1.283,12,518
A,-2.128,12,519
B,-0.811,12,520
A,-0.75,12,521
B,-1.177,12,522
A,-0.678,12,523
A,1.317,13,524
B,-0.196,13,525
A,0.455,13,526
B,-1.229,13,527
A,0.436,13,528
B,-1.351,13,529
A,1.507,13,530
B,0.405,13,531
A,-0.036,13,532
B,1.2,13,533
A,1.77,13,534
B,1.149,13,535
A,0.745,13,536
B,0.978,13,537
A,1.306,13,538
B,-0.727,13,539
A,0.452,13,540
B,1.221,13,541
A,0.492,13,542
B,-0.995,13,543
A,0.728,13,544
B,-2.047,13,545
A,0.407,13,546
B,-0.483,13,547
A,-0.674,13,548
B,0.543,13,549
A,0.729,13,550
B,-0.375,13,551
A,0.523,13,552
B,-2.01,13,553
A,0.827,13,554
B,-0.825,13,555
A,0.458,13,556
B,0.07,13,557
A,0.853,13,558
B,-1.175,13,559
A,0.409,13,560
B,-0.934,13,561
A,1.211,13,562
B,-0.607,13,563
A,0.643,13,564
B,1.38,13,565
A,-0.505,13,566
B,-1.093,13,567
A,0.922,13,568
B,-1.699,13,569
A,0.784,14,570
B,1.201,14,571
A,1.095,14,572
B,0.215,14,573
A,1.655,14,574
B,1.472,14,575
A,0.64,14,576
B,1.715,14,577
A,0.945,14,578
B,0.756,14,579
A,1.15,14,580
B,1.024,14,581
A,1.476,14,582
B,1.438,14,583
A,-0.79,14,584
B,-0.006,14,585
A,1.381,14,586
B,1.107,14,587
A,-0.091,14,588
B,0.085,14,589
A,0.068,14,590
B,0.729,14,591
A,0.166,14,592
A,-0.067,15,593
B,0.934,15,594
A,0.17,15,595
B,0.262,15,596
A,0.056,15,597
B,-0.228,15,598
A,0.039,15,599
B,0.772,15,600
A,-0.267,15,601
B,0.991,15,602
A,1.164,15,603
B,0.421,15,604
A,2.906,15,605
B,-0.07,15,606
A,0.418,15,607
B,1.448,15,608
A,0.722,15,609
B,-0.367,15,610
A,1.142,15,611
B,-0.166,15,612
A,-0.452,15,613
B,0.737,15,614
A,0.512,15,615
B,1.178,15,616
A,0.474,15,617
B,0.51,15,618
A,1.363,16,619
B,0.105,16,620
A,-0.865,16,621
B,1.208,16,622
A,0.573,16,623
B,-0.816,16,624
A,0.508,16,625
B,2.185,16,626
A,0.603,16,627
B,0.845,16,628
A,0.033,16,629
B,0.494,16,630
A,0.572,16,631
B,0.955,16,632
A,0.686,16,633
B,-1.095,16,634
A,0.584,16,635
B,-0.639,16,636
A,-0.602,16,637
B,-0.426,16,638
A,0.671,17,639
B,0.668,17,640
A,-0.154,17,641
B,0.088,17,642
A,0.605,17,643
B,0.704,17,644
A,0.115,17,645
B,-0.703,17,646
A,-0.806,17,647
B,0.524,17,648
A,-0.161,17,649
B,1.453,17,650
A,-0.137,17,651
B,-0.68,17,652
A,-0.2,17,653
B,1.075,17,654
A,-0.515,17,655
B,0.177,17,656
A,0.19,17,657
B,-0.443,17,658
A,-1.005,17,659
B,-1.026,17,660
A,-0.353,17,661
B,0.195,17,662
A,1.726,17,663
B,0.494,17,664
A,0.628,18,665
B,0.239,18,666
A,1.151,18,667
B,-0.093,18,668
A,0.931,18,669
B,-0.784,18,670
A,-0.493,18,671
B,0.577,18,672
A,1.121,18,673
B,-0.078,18,674
A,1.126,18,675
B,1.33,18,676
A,-1.01,18,677
B,-0.175,18,678
A,-0.572,18,679
B,0.427,18,680
A,-0.292,18,681
B,0.603,18,682
A,0.626,18,683
B,-1.044,18,684
A,-0.382,18,685
B,0.279,18,686
A,0.179,18,687
B,0.783,18,688
A,-0.084,18,689
B,0.5,18,690
A,0.015,18,691
B,-0.467,18,692
A,-0.299,18,693
B,-0.289,18,694
A,-0.558,18,695
B,1.037,18,696
A,0.833,18,697
B,1.626,18,698
A,-1.021,18,699
B,-0.207,18,700
A,2.13,18,701
B,0.106,18,702
A,-0.78,18,703
B,-0.112,18,704
A,-0.355,18,705
B,0.897,18,706
A,0.702,18,707
B,0.297,18,708
A,0.369,18,709
B,0.458,18,710
A,-0.023,18,711
B,1.443,18,712
A,1.572,18,713
B,-0.628,18,714
A,0.887,18,715
B,0.326,18,716
A,0.396,18,717
B,1.495,18,718
A,0.112,18,719
A,0.523,19,720
B,0.011,19,721
A,0.193,19,722
B,0.569,19,723
A,0.123,19,724
B,-0.025,19,725
A,-0.562,19,726
B,0.043,19,727
A,-0.393,19,728
B,2.117,19,729
A,-0.26,19,730
B,0.199,19,731
A,-1.142,19,732
B,0.01,19,733
A,0.21,19,734
B,-0.778,19,735
A,-1.902,19,736
B,0.061,19,737
A,1.688,20,738
B,-1.246,20,739
A,0.809,20,740
B,1.051,20,741
A,2.295,20,742
B,-1.547,20,743
A,0.118,20,744
B,-0.679,20,745
A,1.518,20,746
B,-3.556,20,747
A,1.071,20,748
B,1.848,20,749
A,0.109,20,750
B,-0.328,20,751
A,-0.54,20,752
B,-1.448,20,753
A,1.119,20,754
B,-1.431,20,755
A,0.954,20,756
B,-0.913,20,757
A,0.312,20,758
B,-0.158,20,759
A,-0.71,20,760
B,-2.228,20,761
A,1.631,20,762
B,-1.5,20,763
A,-0.239,20,764
B,0.318,20,765
A,0.164,20,766
B,-0.073,20,767
A,-1.162,20,768
B,-0.146,20,769
A,-0.166,20,770
B,0.174,20,771
A,0.713,20,772
