group,val,trial_n,sample_n
A,-0.99,7,348
B,-1.907,7,349
A,0.006,7,350
B,-0.504,7,351
A,-0.502,7,352
B,0.269,7,353
A,-0.777,7,354
B,0.129,7,355
A,-1.803,7,356
B,0.048,7,357
A,-1.901,7,358
B,-0.525,7,359
A,0.118,7,360
B,-0.499,7,361
A,0.943,8,362
B,1.216,8,363
A,0.639,8,364
B,0.226,8,365
A,1.333,8,366
B,1.305,8,367
A,-0.4,8,368
B,0.303,8,369
A,1.182,8,370
B,0.595,8,371
A,1.523,8,372
B,0.486,8,373
A,0.907,8,374
B,2.088,8,375
A,1.484,8,376
B,0.73,8,377
A,1.055,8,378
B,-0.03,8,379
A,0.462,8,380
B,0.427,8,381
A,1.343,8,382
B,0.216,8,383
A,1.496,8,384
B,0.336,8,385
A,1.013,8,386
B,1.145,8,387
A,1.672,8,388
B,1.363,8,389
A,0.91,9,390
B,-0.011,9,391
A,0.445,9,392
B,0.291,9,393
A,-1.055,9,394
B,0.134,9,395
A,-0.207,9,396
B,1.644,9,397
A,0.222,9,398
B,-0.214,9,399
A,0.686,9,400
B,-1.465,9,401
A,-0.225,9,402
B,-0.092,9,403
A,1.127,9,404
B,0.61,9,405
A,0.322,9,406
B,-0.024,9,407
A,0.387,9,408
B,-0.601,9,409
A,1.685,9,410
B,-0.661,9,411
A,0.689,9,412
A,-1.593,10,413
B,0.113,10,414
A,-1.729,10,415
B,-2.494,10,416
A,1.427,10,417
B,1.121,10,418
A,0.8,10,419
B,0.886,10,420
A,2.326,10,421
B,-0.782,10,422
A,-0.25,10,423
B,2.032,10,424
A,0.273,10,425
B,-0.942,10,426
A,0.04,10,427
B,-1.123,10,428
A,-1.078,10,429
B,0.4,10,430
A,-0.026,10,431
A,-1.002,11,432
B,-1.724,11,433
A,-1.863,11,434
B,-0.438,11,435
A,-0.344,11,436
B,-0.972,11,437
A,0.004,11,438
B,-0.895,11,439
A,-0.649,11,440
B,-0.537,11,441
A,-0.582,11,442
B,-0.787,11,443
A,0.553,11,444
B,-0.037,11,445
A,0.159,12,446
B,-0.039,12,447
A,-0.51,12,448
B,-0.397,12,449
A,0.449,12,450
B,0.632,12,451
A,1.796,12,452
B,0.919,12,453
A,-1.32,12,454
B,1.72,12,455
A,-0.669,12,456
B,-2.039,12,457
A,-0.299,12,458
B,0.61,12,459
A,0.438,12,460
B,-0.139,12,461
A,1.855,12,462
B,0.708,12,463
A,1.846,13,464
B,-0.556,13,465
A,-0.841,13,466
B,-0.716,13,467
A,0.703,13,468
B,-0.564,13,469
A,0.364,13,470
B,0.675,13,471
A,-0.129,13,472
B,0.055,13,473
A,-0.38,13,474
B,0.798,13,475
A,-0.083,13,476
B,0.669,13,477
A,1.035,13,478
B,-1.069,13,479
A,-0.275,13,480
B,1.241,13,481
A,-0.435,13,482
B,0.008,13,483
A,0.139,13,484
B,-0.102,13,485
A,-1.37,13,486
B,0.729,13,487
A,0.812,13,488
A,-0.392,14,489
B,-1.251,14,490
A,0.734,14,491
B,0.133,14,492
A,-0.874,14,493
B,-1.021,14,494
A,-0.703,14,495
B,-1.822,14,496
A,-0.674,14,497
B,-0.864,14,498
A,-1.212,14,499
B,0.295,14,500
A,-1.267,14,501
B,-0.897,14,502
A,0.412,14,503
B,-0.768,14,504
A,-0.319,14,505
B,-0.855,14,506
A,-1.4,14,507
B,-1.523,14,508
A,-0.676,14,509
B,-0.981,14,510
A,-1.054,14,511
B,0.395,14,512
A,-1.444,14,513
B,-1.715,14,514
A,-1.092,14,515
B,-1.163,14,516
A,0.167,14,517
B,-0.043,14,518
A,-2.568,14,519
B,-1.701,14,520
A,-0.496,14,521
B,-1.925,14,522
A,0.719,14,523
B,0.29,14,524
A,-0.112,14,525
B,-0.611,14,526
A,-0.441,14,527
B,-0.707,14,528
A,-0.726,14,529
B,-1.278,14,530
A,-0.056,15,531
B,0.943,15,532
A,0.037,15,533
B,0.566,15,534
A,0.726,15,535
B,-0.242,15,536
A,0.204,15,537
B,0.308,15,538
A,1.268,15,539
B,0.761,15,540
A,1.108,15,541
B,1.827,15,542
A,-0.299,15,543
B,1.095,15,544
A,0.107,15,545
B,-0.101,15,546
A,1.118,15,547
B,0.586,15,548
A,-0.092,15,549
B,-0.158,15,550
A,-1.161,16,551
B,-1.941,16,552
A,-0.414,16,553
B,-0.95,16,554
A,-0.039,16,555
B,-0.221,16,556
A,-0.857,16,557
B,-1.529,16,558
A,-1.676,16,559
B,-0.986,16,560
A,-1.016,16,561
B,-0.606,16,562
A,0.001,16,563
B,-1.096,16,564
A,-0.417,16,565
B,-0.69,16,566
A,-0.193,16,567
B,-1.001,16,568
A,-0.461,16,569
B,-0.256,16,570
A,-0.353,16,571
B,-1.16,16,572
A,-0.489,16,573
B,-0.997,16,574
A,-0.659,16,575
B,-1.223,16,576
A,-0.727,16,577
B,-1.759,16,578
A,-0.813,16,579
B,-1.324,16,580
A,-0.453,16,581
B,-1.299,16,582
A,-0.498,16,583
B,-0.696,16,584
A,-1.181,16,585
A,-1.438,17,586
B,-0.931,17,587
A,-0.837,17,588
B,-2.131,17,589
A,-0.792,17,590
B,-1.649,17,591
A,-0.375,17,592
B,-0.246,17,593
A,-1.802,17,594
B,-0.768,17,595
A,-1.245,17,596
B,-0.704,17,597
A,-1.378,17,598
B,-0.907,17,599
A,-0.658,17,600
B,-0.858,17,601
A,-0.818,17,602
B,-1.594,17,603
A,-0.435,17,604
B,-0.214,17,605
A,-1.268,17,606
B,-2.449,17,607
A,-0.644,17,608
A,-1.248,18,609
B,-1.337,18,610
A,-0.64,18,611
B,-1.589,18,612
A,-1.43,18,613
B,-0.713,18,614
A,-1.514,18,615
B,0.003,18,616
A,-1.47,18,617
B,-1.329,18,618
A,-0.71,18,619
B,-1.888,18,620
A,-0.889,18,621
B,-2.166,18,622
A,-0.257,18,623
B,-0.042,18,624
A,-0.905,18,625
B,-2.038,18,626
A,0.835,19,627
B,-0.569,19,628
A,0.34,19,629
B,0.836,19,630
A,1.286,19,631
B,-0.636,19,632
A,-1.026,19,633
B,-0.535,19,634
A,-0.342,19,635
B,1.79,19,636
A,0.067,19,637
B,-0.519,19,638
A,-0.018,19,639
B,0.87,19,640
A,0.272,19,641
B,-0.198,19,642
A,-0.707,19,643
B,-0.845,19,644
A,1.191,19,645
B,-0.646,19,646
A,-1.221,19,647
B,-0.552,19,648
A,-0.337,19,649
B,-0.527,19,650
A,-0.081,19,651
B,0.35,19,652
A,0.456,19,653
B,0.067,19,654
A,-0.676,19,655
B,-0.271,19,656
A,0.497,19,657
B,-0.389,19,658
A,-0.804,19,659
B,1.78,19,660
A,-0.603,19,661
B,-1.137,19,662
A,0.048,19,663
B,-0.537,19,664
A,-0.298,19,665
B,-1.832,19,666
A,-1.631,19,667
B,-0.27,19,668
A,-0.468,19,669
B,0.117,19,670
A,-0.894,19,671
B,-0.591,19,672
A,1.059,20,673
B,0.769,20,674
A,0.498,20,675
B,0.647,20,676
A,1.72,20,677
B,0.435,20,678
A,-0.135,20,679
B,0.672,20,680
A,0.305,20,681
B,0.23,20,682
A,0.795,20,683
B,0.377,20,684
A,0.85,20,685
B,0.64,20,686
A,2.307,20,687
B,0.772,20,688
A,1.747,20,689
B,0.127,20,690
A,0.638,20,691
B,0.29,20,692
A,0.772,20,693
B,1.329,20,694
A,-1.03,20,695
B,0.93,20,696
A,0.606,20,697
B,1.192,20,698
A,1.084,20,699
B,1.325,20,700
A,0.748,20,701
B,0.227,20,702
A,0.14,20,703
B,0.727,20,704
A,1.093,20,705
B,0.522,20,706
A,-0.539,20,707
B,1.505,20,708
A,0.755,20,709
B,1.116,20,710
A,0.617,20,711
B,1.575,20,712
A,1.095,20,713
B,0.778,20,714
A,1.078,20,715
B,1,20,716
