group,val,trial_n,sample_n
B,-3.425,2,99
A,0.745,3,100
B,2.45,3,101
A,0.06,3,102
B,0.869,3,103
A,2.181,3,104
B,0.8,3,105
A,-0.288,3,106
B,0.106,3,107
A,-0.601,3,108
B,0.1,3,109
A,2.179,3,110
B,-0.058,3,111
A,1.255,3,112
B,0.168,3,113
A,1.305,3,114
B,2.945,3,115
A,-0.084,3,116
B,-0.346,3,117
A,1.649,3,118
B,2.16,3,119
A,-1.709,3,120
B,0.94,3,121
A,0.231,3,122
B,-0.237,3,123
A,-0.441,3,124
B,1.238,3,125
A,0.437,3,126
B,-0.17,3,127
A,-0.028,3,128
B,1.628,3,129
A,0.738,3,130
B,-1.326,3,131
A,0.89,3,132
B,-0.288,3,133
A,-0.804,3,134
B,1.945,3,135
A,-0.466,3,136
B,0.581,3,137
A,-0.303,3,138
B,0.497,3,139
A,0.243,3,140
B,1.081,3,141
A,0.681,3,142
B,0.401,3,143
A,1.441,3,144
B,3.641,3,145
A,2.534,3,146
B,0.013,3,147
A,0.519,4,148
B,0.337,4,149
A,1.462,4,150
B,0.745,4,151
A,1.804,4,152
B,0.733,4,153
A,0.372,4,154
B,0.446,4,155
A,1.826,4,156
B,1.477,4,157
A,0.713,4,158
B,-0.249,4,159
A,-0.054,4,160
B,0.634,4,161
A,-0.137,4,162
B,0.657,4,163
A,-0.516,4,164
B,0.47,4,165
A,0.345,4,166
B,-0.33,4,167
A,2.129,4,168
B,-0.115,4,169
A,0.383,4,170
B,0.249,4,171
A,-0.026,4,172
B,0.003,4,173
A,0.741,4,174
B,-0.027,4,175
A,1.237,4,176
B,1.813,4,177
A,0.729,4,178
B,0.984,4,179
A,-0.706,4,180
B,0.349,4,181
A,0.537,4,182
B,1.07,4,183
A,1.085,4,184
B,2.657,4,185
A,0.353,4,186
B,-0.582,4,187
A,2.293,4,188
B,-0.189,4,189
A,0.196,4,190
B,-0.083,4,191
A,1.133,4,192
B,-0.104,4,193
A,-1.689,5,194
B,-1.87,5,195
A,-2.043,5,196
B,-0.282,5,197
A,-1.856,5,198
B,-1.034,5,199
A,-1.16,5,200
B,-1.27,5,201
A,-2.31,5,202
B,-0.935,5,203
A,-1.872,5,204
B,-0.261,5,205
A,-0.608,5,206
B,0.044,5,207
A,-1.177,5,208
B,-0.125,5,209
A,-0.938,5,210
B,-1.969,5,211
A,-1.927,5,212
B,-0.374,5,213
A,0.393,5,214
B,-1.05,5,215
A,-1.433,5,216
B,-0.061,5,217
A,0.045,5,218
B,-0.708,5,219
A,-0.123,5,220
B,-0.541,5,221
A,0.373,5,222
B,-0.213,5,223
A,-0.762,5,224
B,-1.858,5,225
A,-0.441,5,226
B,-0.073,5,227
A,-2,5,228
B,-0.101,5,229
A,-0.963,5,230
B,-0.444,5,231
A,-0.817,5,232
B,-0.303,5,233
A,-1.373,5,234
B,-1.087,5,235
A,-0.702,5,236
B,-0.659,5,237
A,-0.621,5,238
B,-1.019,5,239
A,-1.164,5,240
B,-1.267,5,241
A,-1.487,5,242
B,-1.255,5,243
A,0.329,5,244
B,-0.695,5,245
A,0.107,5,246
B,-0.626,5,247
A,-1.221,5,248
B,-1.296,5,249
A,-0.867,5,250
B,-0.222,5,251
A,0.184,5,252
B,-1.919,5,253
A,-1.145,5,254
B,-1.406,5,255
A,-0.964,5,256
B,0.213,5,257
A,-0.718,5,258
A,-0.434,6,259
B,-1.245,6,260
A,0.474,6,261
B,0.127,6,262
A,-0.29,6,263
B,-0.003,6,264
A,0.407,6,265
B,-0.429,6,266
A,0.593,6,267
B,-0.199,6,268
A,-0.073,6,269
B,-0.151,6,270
A,-0.053,6,271
B,-0.227,6,272
A,0.164,6,273
B,-0.544,6,274
A,0.956,6,275
B,-0.532,6,276
A,0.412,6,277
B,-0.069,6,278
A,-1.33,6,279
B,-0.066,6,280
A,-0.619,6,281
B,0.437,6,282
A,0.484,6,283
B,0.069,6,284
A,-0.283,6,285
B,0.336,6,286
A,-2.672,7,287
B,-1.898,7,288
A,-1.008,7,289
B,-1.534,7,290
A,-0.64,7,291
B,-0.37,7,292
A,-1.851,7,293
B,-1.592,7,294
A,-0.83,7,295
B,-1.488,7,296
A,0.111,7,297
B,0.384,7,298
A,-0.202,7,299
B,0.202,7,300
A,-2.612,7,301
B,-1.401,7,302
A,-2.557,7,303
B,-0.66,7,304
A,-2.959,7,305
B,-0.221,7,306
A,-1.979,7,307
B,-1.663,7,308
A,0.526,7,309
A,-1.132,8,310
B,-1.28,8,311
A,-1.261,8,312
B,-0.672,8,313
A,-0.83,8,314
B,-0.735,8,315
A,-0.872,8,316
B,-0.711,8,317
A,-1.423,8,318
B,-1.218,8,319
A,-0.999,8,320
B,-1.192,8,321
A,-0.994,8,322
B,0.077,8,323
A,-0.411,8,324
B,0.037,8,325
A,-2.084,9,326
B,0.929,9,327
A,-0.558,9,328
B,1.254,9,329
A,-1.322,9,330
B,2.066,9,331
A,1.352,9,332
B,1.537,9,333
A,-1.31,9,334
B,0.993,9,335
A,0.53,9,336
B,1.972,9,337
A,-1.751,9,338
B,-1.182,9,339
A,-0.115,9,340
A,0.187,10,341
B,0.561,10,342
A,-1.498,10,343
B,0.064,10,344
A,-0.781,10,345
B,-0.807,10,346
A,-0.366,10,347
B,0.508,10,348
A,-0.274,10,349
B,0.631,10,350
A,-0.727,10,351
B,-0.122,10,352
A,-0.025,10,353
B,0.11,10,354
A,0.022,10,355
B,-0.238,10,356
A,-0.256,10,357
A,-0.895,11,358
B,-0.287,11,359
A,0.105,11,360
B,-0.671,11,361
A,-0.269,11,362
B,-0.04,11,363
A,0.089,11,364
B,0.528,11,365
A,-0.943,11,366
B,0.731,11,367
A,-0.075,11,368
B,0.089,11,369
A,-0.813,11,370
B,-0.921,11,371
A,-0.794,11,372
B,0.204,11,373
A,-0.094,11,374
B,-0.009,11,375
A,-1.357,11,376
B,1.332,11,377
A,-1.421,11,378
B,0.608,11,379
A,0.313,11,380
A,0.56,12,381
B,1.915,12,382
A,0.851,12,383
B,0.37,12,384
A,-0.797,12,385
B,0.323,12,386
A,0.489,12,387
B,2.44,12,388
A,-0.586,12,389
B,3.072,12,390
A,0.73,12,391
B,2.038,12,392
A,-0.065,12,393
B,1.787,12,394
A,-0.814,12,395
B,2.274,12,396
A,0.539,12,397
B,1.933,12,398
A,1.219,12,399
A,1.992,13,400
B,-0.133,13,401
A,0.58,13,402
B,-1.004,13,403
A,-0.164,13,404
B,0.219,13,405
A,0.618,13,406
B,1.17,13,407
A,-0.241,13,408
B,0.959,13,409
A,0.361,13,410
B,-0.588,13,411
A,-0.03,13,412
B,0.561,13,413
A,-0.126,13,414
B,0.351,13,415
A,0.983,13,416
B,0.532,13,417
A,1.218,13,418
B,0.134,13,419
A,-0.225,13,420
B,1.163,13,421
A,-0.446,13,422
B,0.884,13,423
A,-0.094,13,424
B,1.724,13,425
A,0.536,13,426
A,1.07,14,427
B,-2.099,14,428
A,-0.691,14,429
B,-0.332,14,430
A,-1.337,14,431
B,-0.153,14,432
A,-0.501,14,433
B,-0.324,14,434
A,0.069,14,435
B,0.251,14,436
A,-0.204,14,437
B,-1.738,14,438
A,-1.669,14,439
B,0.148,14,440
A,-0.34,14,441
B,-0.061,14,442
A,0.198,15,443
B,1.504,15,444
A,0.95,15,445
B,1.167,15,446
A,1.986,15,447
B,0.561,15,448
A,0.693,15,449
B,0.891,15,450
A,0.987,15,451
B,0.752,15,452
A,1.188,15,453
B,0.885,15,454
A,0.507,15,455
B,2.584,15,456
A,1.343,15,457
B,1.474,15,458
A,1.195,15,459
B,1.933,15,460
A,0.454,16,461
B,0.421,16,462
A,1.437,16,463
B,1.294,16,464
A,1.143,16,465
B,-0.369,16,466
A,0.72,16,467
B,0.705,16,468
A,1.103,16,469
B,0.657,16,470
A,1.069,16,471
B,0.865,16,472
A,-0.315,16,473
B,2.065,16,474
A,0.853,16,475
B,0.876,16,476
A,0.8,16,477
B,0.223,16,478
A,0.202,16,479
B,-0.236,16,480
A,0.732,16,481
B,0.317,16,482
A,-0.507,16,483
B,0.163,16,484
A,-0.91,17,485
B,0.474,17,486
A,0.596,17,487
B,0.225,17,488
A,-0.924,17,489
B,-1.31,17,490
A,-0.114,17,491
B,-1.723,17,492
A,0.484,17,493
B,-0.569,17,494
A,0.231,17,495
B,0.36,17,496
A,0.044,17,497
B,-0.537,17,498
A,0.15,17,499
B,-1.032,17,500
A,-0.103,17,501
B,-1.038,17,502
A,-1.129,17,503
B,-0.765,17,504
A,-0.791,17,505
B,-1.122,17,506
A,-0.355,17,507
B,0.423,17,508
A,0.798,17,509
B,-0.17,17,510
A,-0.703,17,511
B,-0.71,17,512
A,-0.638,17,513
B,0.159,17,514
A,-0.396,17,515
B,-1.571,17,516
A,-0.248,17,517
B,-0.062,17,518
A,-0.192,17,519
B,0.217,17,520
A,0.151,17,521
B,-0.28,17,522
A,0.526,17,523
B,-0.051,17,524
A,-0.135,17,525
B,0.046,17,526
A,-0.193,17,527
B,-0.92,17,528
A,0.201,17,529
A,0.735,18,530
B,0.96,18,531
A,-0.262,18,532
B,0.217,18,533
A,0.357,18,534
B,1.186,18,535
A,0.487,18,536
B,0.998,18,537
A,2.149,18,538
B,0.996,18,539
A,-0.267,18,540
B,0.452,18,541
A,-0.474,18,542
B,2.188,18,543
A,-0.636,18,544
B,0.439,18,545
A,-0.919,18,546
B,-0.906,18,547
A,-0.139,18,548
B,-0.019,18,549
A,0.072,18,550
B,1.774,18,551
A,0.243,18,552
B,0.899,18,553
A,-0.333,18,554
B,0.923,18,555
A,0.116,18,556
A,3.164,19,557
B,-0.714,19,558
A,1.145,19,559
B,1.408,19,560
A,1.657,19,561
B,1.752,19,562
A,0.881,19,563
B,-0.308,19,564
A,1.315,19,565
B,0.816,19,566
A,-0.223,19,567
B,1.273,19,568
A,1.38,19,569
B,1.602,19,570
A,0.039,19,571
B,0.869,19,572
A,1.222,19,573
B,1.52,19,574
A,0.454,19,575
B,0.836,19,576
A,2.169,19,577
B,1.454,19,578
A,1.07,19,579
A,1.103,20,580
B,1.281,20,581
A,1.081,20,582
B,1.647,20,583
A,0.841,20,584
B,1.069,20,585
A,2.121,20,586
B,1.068,20,587
A,0.963,20,588
B,1.058,20,589
A,1.273,20,590
B,0.58,20,591
A,0.237,20,592
B,0.231,20,593
A,1.124,20,594
B,1.019,20,595
A,1.734,20,596
B,1.156,20,597
A,0.595,20,598
B,0.668,20,599
A,0.899,20,600
B,0.794,20,601
A,1.17,20,602
B,0.995,20,603
A,0.814,20,604
B,0.513,20,605
A,0.972,20,606
B,0.504,20,607
A,1.007,20,608
B,0.999,20,609
A,-0.033,20,610
B,1.215,20,611
A,0.961,20,612
B,1.006,20,613
